"","Studentnummer","Landen_vooropleiding","BSA"
"1447","4203622","GE","Positief"
"19","4203682","NL","Negatief"
"766","4203868","NL","Positief"
"1421","4203910","GE","Positief"
"147","4204400","NL","Positief"
"433","4204424","NL","Positief"
"2027","4204604","US","Negatief"
"1176","4205020","NL","Positief"
"1515","4205176","GE","Positief"
"406","4205423","NL","Negatief"
"1884","4205807","US","Positief"
"207","4205990","NL","Positief"
"1705","4206204","UK","Positief"
"938","4206422","NL","Positief"
"1050","4206616","NL","Positief"
"232","4206792","NL","Positief"
"435","4207198","NL","Positief"
"512","4207303","NL","Positief"
"509","4207306","NL","Positief"
"1399","4207596","GE","Positief"
"133","4207721","NL","Positief"
"1044","4207999","NL","Positief"
"820","4208236","NL","Positief"
"1692","4208526","UK","Positief"
"1087","4208987","NL","Positief"
"1272","4209619","NL","Positief"
"1258","4209695","NL","Positief"
"1655","4209852","UK","Positief"
"1664","4209995","UK","Positief"
"1064","4210227","NL","Positief"
"2017","4210245","US","Positief"
"78","4210547","NL","Negatief"
"99","4210937","NL","Negatief"
"1514","4211013","GE","Positief"
"1082","4211093","NL","Positief"
"2120","4212319","US","Positief"
"1859","4212557","BE","Positief"
"684","4213240","NL","Positief"
"1301","4213250","GE","Positief"
"1952","4213481","US","Negatief"
"1285","4213606","NL","Positief"
"792","4213647","NL","Positief"
"2087","4213984","US","Positief"
"1372","4214722","GE","Positief"
"1046","4215202","NL","Negatief"
"1458","4215392","GE","Positief"
"1867","4215440","BE","Positief"
"1868","4215732","BE","Positief"
"527","4216245","NL","Positief"
"1674","4216310","UK","Positief"
"658","4217197","NL","Positief"
"305","4217309","NL","Positief"
"129","4217392","NL","Positief"
"1417","4217600","GE","Positief"
"561","4218139","NL","Positief"
"784","4218457","NL","Negatief"
"1590","4218471","IT","Positief"
"2025","4219037","US","Positief"
"857","4219408","NL","Positief"
"1124","4219562","NL","Positief"
"1752","4219645","ES","Positief"
"2068","4219739","US","Positief"
"51","4219755","NL","Negatief"
"1147","4219874","NL","Positief"
"1538","4220115","IT","Negatief"
"1454","4220141","GE","Positief"
"521","4220491","NL","Positief"
"399","4220657","NL","Positief"
"1678","4221318","UK","Positief"
"1593","4222057","IT","Positief"
"2126","4222225","US","Negatief"
"85","4222256","NL","Positief"
"1380","4222610","GE","Positief"
"712","4222745","NL","Positief"
"1151","4222885","NL","Positief"
"517","4222986","NL","Positief"
"2180","4223181","US","Positief"
"1846","4223297","BE","Negatief"
"1570","4223550","IT","Positief"
"1898","4223586","US","Positief"
"1767","4223815","ES","Positief"
"1352","4223931","GE","Positief"
"729","4224087","NL","Positief"
"324","4224131","NL","Positief"
"344","4224883","NL","Negatief"
"633","4225152","NL","Positief"
"1476","4225540","GE","Positief"
"118","4226277","NL","Positief"
"61","4226354","NL","Negatief"
"424","4226400","NL","Positief"
"239","4226726","NL","Positief"
"453","4226933","NL","Positief"
"1254","4227464","NL","Positief"
"203","4227791","NL","Negatief"
"1203","4227991","NL","Positief"
"2092","4228256","US","Positief"
"1535","4228377","IT","Negatief"
"2184","4229098","US","Positief"
"127","4229278","NL","Positief"
"626","4229282","NL","Positief"
"1062","4229320","NL","Positief"
"606","4229782","NL","Positief"
"193","4229837","NL","Positief"
"537","4229867","NL","Positief"
"1355","4230078","GE","Positief"
"1559","4230636","IT","Positief"
"1717","4230687","UK","Positief"
"477","4231196","NL","Positief"
"1551","4231477","IT","Negatief"
"246","4231512","NL","Positief"
"593","4231536","NL","Positief"
"994","4231992","NL","Positief"
"1170","4232164","NL","Negatief"
"1154","4232212","NL","Positief"
"529","4232738","NL","Positief"
"1507","4232918","GE","Positief"
"929","4232928","NL","Positief"
"1702","4233001","UK","Positief"
"1361","4233104","GE","Negatief"
"1605","4233127","IT","Positief"
"653","4233398","NL","Positief"
"1614","4233597","UK","Positief"
"1838","4233894","BE","Positief"
"1216","4233953","NL","Positief"
"1275","4234111","NL","Positief"
"1009","4234328","NL","Positief"
"119","4234511","NL","Positief"
"1699","4234556","UK","Positief"
"1706","4234597","UK","Positief"
"1249","4235028","NL","Positief"
"315","4235147","NL","Positief"
"1526","4235194","GE","Positief"
"665","4235318","NL","Positief"
"993","4235323","NL","Positief"
"2189","4235347","US","Positief"
"618","4235689","NL","Negatief"
"842","4235732","NL","Positief"
"1420","4236024","GE","Positief"
"69","4236030","NL","Positief"
"644","4236315","NL","Positief"
"1386","4236529","GE","Positief"
"1311","4236750","GE","Positief"
"875","4237183","NL","Positief"
"576","4238770","NL","Positief"
"1987","4239094","US","Negatief"
"725","4239187","NL","Positief"
"1830","4239837","BE","Positief"
"1983","4240037","US","Negatief"
"1368","4240515","GE","Negatief"
"1840","4240564","BE","Positief"
"621","4241096","NL","Positief"
"1481","4241368","GE","Negatief"
"1542","4241376","IT","Positief"
"483","4241491","NL","Positief"
"895","4241672","NL","Positief"
"639","4242125","NL","Positief"
"774","4242217","NL","Positief"
"347","4242919","NL","Positief"
"283","4243055","NL","Negatief"
"1958","4243196","US","Positief"
"395","4243603","NL","Positief"
"1978","4243818","US","Positief"
"1416","4244063","GE","Positief"
"92","4244088","NL","Positief"
"173","4244148","NL","Positief"
"1821","4244185","BE","Negatief"
"1473","4244211","GE","Negatief"
"700","4244598","NL","Positief"
"1751","4244738","ES","Positief"
"1138","4244904","NL","Positief"
"278","4244928","NL","Positief"
"578","4245122","NL","Negatief"
"619","4245233","NL","Positief"
"387","4245439","NL","Positief"
"1281","4245927","NL","Negatief"
"630","4246419","NL","Positief"
"163","4246556","NL","Positief"
"1511","4247336","GE","Positief"
"162","4247869","NL","Positief"
"1725","4248123","UK","Positief"
"1338","4248196","GE","Positief"
"1335","4248326","GE","Positief"
"23","4248339","NL","Positief"
"1856","4248469","BE","Positief"
"1623","4248540","UK","Positief"
"1388","4248680","GE","Positief"
"1089","4248689","NL","Positief"
"540","4248888","NL","Positief"
"1894","4249730","US","Positief"
"165","4249831","NL","Positief"
"397","4250327","NL","Positief"
"760","4250337","NL","Positief"
"371","4250365","NL","Positief"
"1924","4250465","US","Positief"
"1479","4250935","GE","Positief"
"1903","4251120","US","Positief"
"1018","4251487","NL","Positief"
"2166","4251613","US","Positief"
"1106","4252247","NL","Positief"
"1328","4252348","GE","Negatief"
"751","4252558","NL","Positief"
"2003","4252716","US","Positief"
"1578","4252844","IT","Negatief"
"1178","4253230","NL","Positief"
"1120","4253387","NL","Positief"
"916","4253654","NL","Positief"
"2125","4253805","US","Positief"
"2096","4253882","US","Positief"
"2088","4253939","US","Positief"
"892","4254170","NL","Positief"
"1604","4254277","IT","Negatief"
"1299","4254515","GE","Positief"
"914","4254806","NL","Positief"
"1529","4255357","GE","Positief"
"1653","4255572","UK","Positief"
"337","4255651","NL","Positief"
"267","4256004","NL","Positief"
"1961","4256190","US","Positief"
"2105","4256234","US","Positief"
"1391","4256256","GE","Negatief"
"1890","4256367","US","Positief"
"825","4257011","NL","Positief"
"881","4257273","NL","Negatief"
"2021","4257415","US","Negatief"
"1747","4257676","ES","Positief"
"860","4257751","NL","Positief"
"811","4257965","NL","Positief"
"1587","4258062","IT","Positief"
"311","4258347","NL","Positief"
"1566","4258381","IT","Positief"
"426","4258525","NL","Positief"
"1461","4258631","GE","Positief"
"389","4258671","NL","Positief"
"1098","4258840","NL","Positief"
"1758","4259299","ES","Positief"
"1127","4259470","NL","Positief"
"1282","4259529","NL","Positief"
"733","4259623","NL","Positief"
"1027","4259910","NL","Positief"
"1090","4260107","NL","Positief"
"168","4260188","NL","Positief"
"421","4260422","NL","Positief"
"837","4261333","NL","Positief"
"1823","4261424","BE","Positief"
"947","4261629","NL","Positief"
"160","4261886","NL","Negatief"
"516","4262276","NL","Positief"
"1927","4262389","US","Positief"
"2157","4262998","US","Positief"
"1243","4263133","NL","Positief"
"1971","4263659","US","Positief"
"1812","4263844","BE","Positief"
"1053","4263925","NL","Positief"
"1548","4263996","IT","Positief"
"1641","4264117","UK","Positief"
"1789","4264168","BE","Negatief"
"894","4264383","NL","Negatief"
"280","4264455","NL","Positief"
"1600","4264647","IT","Positief"
"485","4264706","NL","Positief"
"1565","4265177","IT","Negatief"
"1274","4265557","NL","Positief"
"2074","4265678","US","Negatief"
"1513","4265718","GE","Positief"
"1756","4265758","ES","Positief"
"298","4265903","NL","Positief"
"174","4266325","NL","Negatief"
"1569","4266329","IT","Positief"
"887","4266429","NL","Positief"
"1611","4266601","UK","Positief"
"1413","4266649","GE","Negatief"
"218","4266733","NL","Positief"
"339","4266944","NL","Positief"
"511","4267397","NL","Positief"
"1330","4268380","GE","Positief"
"2146","4268442","US","Positief"
"1271","4268526","NL","Positief"
"1934","4268566","US","Positief"
"1693","4268577","UK","Negatief"
"1061","4269101","NL","Positief"
"1353","4269260","GE","Positief"
"545","4269343","NL","Positief"
"1466","4269543","GE","Positief"
"1877","4269590","BE","Positief"
"1820","4269666","BE","Positief"
"1349","4269957","GE","Negatief"
"1007","4270014","NL","Positief"
"44","4270119","NL","Negatief"
"807","4270130","NL","Positief"
"12","4270372","NL","Positief"
"2009","4270478","US","Positief"
"1650","4270542","UK","Positief"
"1527","4270699","GE","Negatief"
"1516","4270733","GE","Positief"
"144","4270756","NL","Positief"
"114","4270758","NL","Negatief"
"270","4270849","NL","Negatief"
"591","4270924","NL","Negatief"
"1442","4271051","GE","Positief"
"564","4271121","NL","Positief"
"501","4272149","NL","Positief"
"906","4272381","NL","Positief"
"1724","4272706","UK","Positief"
"716","4272827","NL","Negatief"
"131","4272959","NL","Positief"
"958","4273025","NL","Positief"
"2000","4273379","US","Positief"
"1738","4273443","ES","Positief"
"651","4273462","NL","Positief"
"864","4273900","NL","Positief"
"76","4273997","NL","Negatief"
"605","4274108","NL","Negatief"
"197","4274272","NL","Positief"
"436","4274475","NL","Positief"
"2194","4274685","US","Positief"
"136","4274740","NL","Negatief"
"1802","4275132","BE","Negatief"
"309","4275381","NL","Positief"
"479","4275442","NL","Positief"
"1291","4275515","GE","Positief"
"62","4275745","NL","Positief"
"2173","4275880","US","Negatief"
"1520","4275995","GE","Negatief"
"52","4276116","NL","Positief"
"843","4276435","NL","Positief"
"1806","4276581","BE","Positief"
"1870","4276927","BE","Negatief"
"871","4277016","NL","Positief"
"1564","4277289","IT","Negatief"
"1279","4277338","NL","Positief"
"2123","4277619","US","Negatief"
"1824","4277700","BE","Negatief"
"767","4277768","NL","Positief"
"466","4277848","NL","Positief"
"745","4277864","NL","Positief"
"1953","4278047","US","Positief"
"1264","4278184","NL","Positief"
"1256","4278231","NL","Positief"
"2159","4278284","US","Positief"
"669","4278362","NL","Positief"
"1942","4278373","US","Positief"
"824","4278752","NL","Negatief"
"1229","4278790","NL","Positief"
"901","4278928","NL","Positief"
"1773","4278940","ES","Positief"
"1236","4279199","NL","Positief"
"2015","4279476","US","Positief"
"100","4279769","NL","Positief"
"797","4279779","NL","Positief"
"563","4280051","NL","Positief"
"1916","4280058","US","Negatief"
"1220","4280137","NL","Positief"
"326","4280276","NL","Positief"
"865","4280295","NL","Positief"
"822","4280344","NL","Positief"
"1366","4280464","GE","Negatief"
"176","4280683","NL","Positief"
"1449","4280897","GE","Positief"
"1763","4280940","ES","Negatief"
"379","4281302","NL","Positief"
"1755","4281415","ES","Positief"
"1168","4281585","NL","Positief"
"1905","4281599","US","Negatief"
"1745","4282093","ES","Positief"
"159","4282623","NL","Positief"
"1982","4283146","US","Positief"
"1849","4283424","BE","Positief"
"1244","4283551","NL","Positief"
"795","4283662","NL","Positief"
"1065","4283995","NL","Positief"
"1640","4283996","UK","Positief"
"259","4284221","NL","Positief"
"1191","4284334","NL","Positief"
"15","4284449","NL","Negatief"
"2108","4284451","US","Positief"
"382","4284606","NL","Positief"
"1703","4284617","UK","Positief"
"294","4284830","NL","Positief"
"1358","4284838","GE","Positief"
"194","4284970","NL","Positief"
"1030","4284988","NL","Positief"
"2097","4285000","US","Positief"
"1077","4285113","NL","Positief"
"2086","4285639","US","Negatief"
"1497","4285703","GE","Positief"
"1489","4285942","GE","Positief"
"1558","4286066","IT","Positief"
"140","4286593","NL","Positief"
"1708","4286909","UK","Positief"
"2056","4287006","US","Negatief"
"682","4287354","NL","Positief"
"391","4287514","NL","Positief"
"94","4287631","NL","Positief"
"1786","4287653","BE","Positief"
"1887","4287718","US","Positief"
"1373","4287736","GE","Positief"
"1015","4288151","NL","Negatief"
"474","4288269","NL","Positief"
"1408","4288400","GE","Positief"
"2149","4288966","US","Positief"
"928","4289008","NL","Positief"
"49","4289019","NL","Positief"
"1298","4289047","GE","Positief"
"525","4289232","NL","Positief"
"274","4289560","NL","Positief"
"1183","4290307","NL","Positief"
"408","4290651","NL","Positief"
"830","4290802","NL","Positief"
"478","4290884","NL","Positief"
"1365","4290920","GE","Positief"
"1269","4291031","NL","Positief"
"1427","4291293","GE","Positief"
"713","4291301","NL","Positief"
"1510","4291764","GE","Positief"
"71","4291803","NL","Positief"
"2045","4292003","US","Positief"
"967","4293095","NL","Positief"
"932","4293629","NL","Positief"
"1186","4293756","NL","Positief"
"863","4294270","NL","Positief"
"186","4294474","NL","Positief"
"1913","4294669","US","Positief"
"8","4294761","NL","Positief"
"1860","4294994","BE","Positief"
"329","4295294","NL","Positief"
"488","4295675","NL","Positief"
"240","4296026","NL","Positief"
"1034","4296129","NL","Positief"
"2132","4296465","US","Positief"
"323","4296687","NL","Positief"
"1206","4296766","NL","Positief"
"2032","4296984","US","Positief"
"1670","4297543","UK","Positief"
"250","4297663","NL","Positief"
"393","4297948","NL","Positief"
"1764","4297994","ES","Positief"
"351","4298068","NL","Positief"
"396","4298469","NL","Positief"
"1654","4298637","UK","Positief"
"2034","4299174","US","Positief"
"1164","4299226","NL","Positief"
"1876","4299649","BE","Positief"
"1668","4299659","UK","Positief"
"754","4299804","NL","Positief"
"1505","4299993","GE","Positief"
"1303","4300138","GE","Negatief"
"1573","4300441","IT","Negatief"
"1909","4300534","US","Positief"
"1003","4300561","NL","Positief"
"319","4300674","NL","Positief"
"1866","4300774","BE","Positief"
"2059","4301400","US","Negatief"
"1402","4302582","GE","Positief"
"260","4302892","NL","Positief"
"1247","4303233","NL","Positief"
"1240","4303338","NL","Positief"
"1869","4303398","BE","Positief"
"1107","4303567","NL","Positief"
"1158","4303713","NL","Positief"
"1637","4303740","UK","Positief"
"1119","4304128","NL","Positief"
"409","4304370","NL","Positief"
"487","4305033","NL","Positief"
"1196","4305142","NL","Positief"
"1625","4306037","UK","Positief"
"321","4306145","NL","Positief"
"388","4306518","NL","Positief"
"683","4306750","NL","Positief"
"1063","4307271","NL","Negatief"
"116","4307339","NL","Positief"
"535","4307382","NL","Positief"
"231","4307490","NL","Positief"
"272","4307769","NL","Positief"
"496","4308351","NL","Positief"
"370","4308571","NL","Positief"
"1314","4308770","GE","Positief"
"1807","4309100","BE","Positief"
"710","4309128","NL","Positief"
"1139","4309464","NL","Positief"
"2106","4309540","US","Positief"
"248","4309838","NL","Negatief"
"1162","4310388","NL","Positief"
"580","4310731","NL","Positief"
"1969","4310777","US","Negatief"
"1129","4310908","NL","Positief"
"1815","4311181","BE","Positief"
"2066","4311470","US","Positief"
"374","4311514","NL","Positief"
"458","4311748","NL","Negatief"
"254","4311865","NL","Positief"
"1180","4311921","NL","Positief"
"1778","4312126","ES","Positief"
"1049","4312537","NL","Positief"
"80","4313261","NL","Positief"
"1696","4313293","UK","Positief"
"2014","4313294","US","Negatief"
"1424","4313533","GE","Positief"
"1762","4313785","ES","Positief"
"1669","4314209","UK","Positief"
"1130","4314530","NL","Positief"
"472","4314647","NL","Positief"
"213","4314683","NL","Positief"
"687","4314960","NL","Positief"
"2199","4315254","US","Positief"
"1475","4315777","GE","Negatief"
"1766","4315929","ES","Positief"
"755","4316028","NL","Positief"
"205","4316066","NL","Positief"
"706","4316632","NL","Positief"
"312","4317398","NL","Positief"
"582","4317693","NL","Positief"
"1743","4317698","ES","Positief"
"2148","4318115","US","Positief"
"1549","4318921","IT","Positief"
"1730","4318972","UK","Positief"
"1768","4319051","ES","Positief"
"404","4319355","NL","Positief"
"1794","4319680","BE","Negatief"
"996","4319827","NL","Positief"
"1839","4320037","BE","Positief"
"2011","4320541","US","Negatief"
"840","4320736","NL","Positief"
"1687","4320916","UK","Positief"
"427","4321079","NL","Positief"
"2100","4321190","US","Positief"
"1096","4321356","NL","Positief"
"656","4321598","NL","Positief"
"1095","4322590","NL","Positief"
"2067","4322679","US","Negatief"
"1818","4322705","BE","Positief"
"2028","4322759","US","Positief"
"1171","4322813","NL","Positief"
"513","4323078","NL","Positief"
"1534","4323304","IT","Negatief"
"128","4323399","NL","Positief"
"600","4323426","NL","Positief"
"1308","4323587","GE","Positief"
"225","4323643","NL","Positief"
"611","4323742","NL","Positief"
"1636","4323790","UK","Positief"
"1134","4324042","NL","Positief"
"1362","4324424","GE","Positief"
"1810","4324534","BE","Positief"
"1207","4324636","NL","Positief"
"1951","4324954","US","Positief"
"1039","4325161","NL","Positief"
"831","4325424","NL","Negatief"
"2012","4325478","US","Positief"
"498","4325572","NL","Positief"
"244","4325682","NL","Positief"
"445","4325771","NL","Positief"
"812","4325874","NL","Positief"
"291","4326027","NL","Positief"
"1304","4326184","GE","Positief"
"1844","4326882","BE","Negatief"
"1093","4326933","NL","Positief"
"1733","4327005","UK","Positief"
"1209","4327147","NL","Positief"
"1237","4327226","NL","Positief"
"1682","4327296","UK","Positief"
"920","4327747","NL","Negatief"
"235","4327800","NL","Positief"
"1455","4328155","GE","Positief"
"1892","4328485","US","Positief"
"685","4328613","NL","Positief"
"836","4329349","NL","Positief"
"588","4329646","NL","Negatief"
"522","4329837","NL","Positief"
"935","4330087","NL","Positief"
"1610","4330092","IT","Negatief"
"434","4330125","NL","Negatief"
"446","4330248","NL","Positief"
"750","4330550","NL","Positief"
"380","4330671","NL","Positief"
"1659","4330729","UK","Negatief"
"1423","4330908","GE","Negatief"
"1781","4330978","ES","Positief"
"2162","4331130","US","Negatief"
"2091","4331365","US","Positief"
"5","4331729","NL","Positief"
"2171","4331861","US","Negatief"
"966","4332291","NL","Positief"
"1967","4332312","US","Negatief"
"77","4332613","NL","Positief"
"2176","4333032","US","Positief"
"853","4333152","NL","Negatief"
"1968","4333630","US","Positief"
"1057","4333672","NL","Positief"
"1854","4334060","BE","Positief"
"1732","4334576","UK","Positief"
"2050","4334618","US","Negatief"
"1346","4334712","GE","Positief"
"1638","4334713","UK","Positief"
"134","4334825","NL","Positief"
"2078","4335006","US","Positief"
"1318","4335418","GE","Positief"
"982","4335437","NL","Positief"
"909","4335665","NL","Positief"
"984","4335796","NL","Positief"
"1910","4335897","US","Positief"
"773","4336084","NL","Positief"
"1393","4336905","GE","Positief"
"1450","4336961","GE","Positief"
"1888","4337300","US","Positief"
"438","4337389","NL","Positief"
"142","4337827","NL","Positief"
"1484","4337913","GE","Positief"
"167","4337950","NL","Positief"
"378","4338520","NL","Negatief"
"1994","4338708","US","Negatief"
"1071","4338835","NL","Positief"
"1068","4338844","NL","Positief"
"1809","4338865","BE","Positief"
"647","4339108","NL","Positief"
"547","4339279","NL","Positief"
"137","4339557","NL","Positief"
"943","4339604","NL","Positief"
"1278","4339891","NL","Positief"
"463","4339980","NL","Positief"
"1941","4340213","US","Negatief"
"499","4340544","NL","Positief"
"320","4340750","NL","Positief"
"1861","4340757","BE","Positief"
"1943","4341254","US","Positief"
"1217","4341758","NL","Positief"
"558","4342293","NL","Positief"
"422","4342344","NL","Positief"
"364","4342434","NL","Positief"
"1727","4342494","UK","Positief"
"1332","4342559","GE","Positief"
"1759","4342928","ES","Positief"
"1197","4343017","NL","Positief"
"696","4343062","NL","Positief"
"415","4343075","NL","Positief"
"1377","4343186","GE","Negatief"
"1184","4343582","NL","Positief"
"2004","4343886","US","Positief"
"1917","4343902","US","Positief"
"530","4344310","NL","Positief"
"2103","4344328","US","Positief"
"802","4344476","NL","Positief"
"666","4344636","NL","Positief"
"1975","4344722","US","Positief"
"2172","4344807","US","Positief"
"1434","4344809","GE","Negatief"
"2115","4345388","US","Positief"
"357","4345464","NL","Negatief"
"1962","4345706","US","Positief"
"553","4345714","NL","Positief"
"481","4346170","NL","Positief"
"1350","4346321","GE","Positief"
"1785","4346669","BE","Positief"
"1502","4347190","GE","Positief"
"1182","4347206","NL","Positief"
"915","4347643","NL","Positief"
"1002","4347877","NL","Positief"
"594","4348273","NL","Positief"
"2085","4348367","US","Positief"
"972","4349070","NL","Positief"
"1779","4349403","ES","Positief"
"1679","4349449","UK","Positief"
"32","4349463","NL","Positief"
"1187","4349654","NL","Positief"
"82","4349666","NL","Negatief"
"1149","4349828","NL","Positief"
"1294","4349830","GE","Positief"
"297","4349977","NL","Positief"
"1712","4350034","UK","Positief"
"791","4350289","NL","Positief"
"2031","4350932","US","Positief"
"866","4350966","NL","Negatief"
"1192","4351279","NL","Positief"
"1907","4351558","US","Positief"
"1042","4351725","NL","Positief"
"304","4351986","NL","Positief"
"1524","4352415","GE","Negatief"
"674","4352452","NL","Positief"
"1038","4352564","NL","Positief"
"1914","4352661","US","Positief"
"14","4352740","NL","Positief"
"534","4352838","NL","Positief"
"613","4352924","NL","Positief"
"559","4352927","NL","Positief"
"1374","4352972","GE","Positief"
"571","4353031","NL","Positief"
"1571","4353051","IT","Negatief"
"39","4353238","NL","Positief"
"1872","4353262","BE","Positief"
"313","4353394","NL","Positief"
"970","4353614","NL","Positief"
"153","4353923","NL","Positief"
"2101","4354132","US","Positief"
"1632","4354349","UK","Negatief"
"20","4354633","NL","Positief"
"976","4354766","NL","Negatief"
"897","4355277","NL","Positief"
"217","4355408","NL","Positief"
"799","4355443","NL","Negatief"
"838","4355568","NL","Positief"
"2138","4355739","US","Negatief"
"632","4356320","NL","Positief"
"1104","4356595","NL","Positief"
"465","4356657","NL","Positief"
"219","4356680","NL","Positief"
"692","4357034","NL","Positief"
"1715","4357938","UK","Positief"
"597","4358441","NL","Positief"
"624","4359203","NL","Positief"
"407","4359790","NL","Positief"
"1881","4359809","US","Negatief"
"999","4360378","NL","Positief"
"503","4360555","NL","Positief"
"1769","4360876","ES","Negatief"
"1469","4360895","GE","Positief"
"1371","4361020","GE","Positief"
"1103","4361119","NL","Positief"
"631","4361485","NL","Positief"
"384","4361504","NL","Positief"
"1893","4361699","US","Negatief"
"1974","4361706","US","Positief"
"322","4361906","NL","Positief"
"276","4362106","NL","Negatief"
"2195","4362180","US","Negatief"
"139","4362237","NL","Positief"
"1101","4362398","NL","Positief"
"1552","4362824","IT","Negatief"
"2197","4362829","US","Positief"
"1406","4362876","GE","Positief"
"1001","4363548","NL","Positief"
"2062","4363620","US","Positief"
"1923","4363960","US","Positief"
"2200","4364042","US","Positief"
"117","4364045","NL","Positief"
"1284","4364098","NL","Positief"
"1345","4364287","GE","Positief"
"334","4364334","NL","Positief"
"991","4364554","NL","Positief"
"1919","4364757","US","Positief"
"660","4364847","NL","Positief"
"266","4365177","NL","Positief"
"403","4365481","NL","Positief"
"1827","4365810","BE","Positief"
"1286","4365980","NL","Positief"
"1719","4366597","UK","Positief"
"50","4367324","NL","Positief"
"1811","4367727","BE","Negatief"
"471","4367815","NL","Positief"
"573","4367866","NL","Positief"
"1494","4368210","GE","Positief"
"1965","4368437","US","Negatief"
"318","4368537","NL","Positief"
"2013","4368634","US","Negatief"
"1412","4368661","GE","Negatief"
"1384","4368859","GE","Positief"
"1512","4368953","GE","Positief"
"1048","4369186","NL","Negatief"
"821","4369215","NL","Negatief"
"1553","4369545","IT","Negatief"
"861","4369950","NL","Negatief"
"285","4370405","NL","Positief"
"1546","4371110","IT","Positief"
"1911","4371694","US","Positief"
"717","4371776","NL","Positief"
"584","4372023","NL","Positief"
"2008","4372044","US","Positief"
"1144","4372931","NL","Positief"
"945","4372983","NL","Positief"
"1685","4373873","UK","Positief"
"341","4374356","NL","Positief"
"41","4374375","NL","Positief"
"1690","4374483","UK","Positief"
"414","4374893","NL","Positief"
"369","4375336","NL","Positief"
"1474","4375780","GE","Positief"
"72","4376615","NL","Positief"
"1522","4376762","GE","Positief"
"1997","4377004","US","Positief"
"1110","4377166","NL","Positief"
"816","4377258","NL","Positief"
"1080","4377661","NL","Positief"
"494","4377750","NL","Positief"
"1940","4377883","US","Positief"
"1577","4377961","IT","Positief"
"1543","4377989","IT","Positief"
"1586","4377995","IT","Negatief"
"1024","4378467","NL","Positief"
"1886","4378485","US","Positief"
"1936","4378614","US","Positief"
"327","4378678","NL","Positief"
"1986","4379205","US","Positief"
"900","4379220","NL","Positief"
"1926","4379263","US","Positief"
"1306","4379398","GE","Positief"
"202","4379644","NL","Positief"
"1797","4380525","BE","Positief"
"152","4380989","NL","Positief"
"1933","4381232","US","Positief"
"1016","4381555","NL","Positief"
"2076","4381619","US","Positief"
"1131","4382149","NL","Positief"
"190","4382184","NL","Positief"
"732","4382244","NL","Positief"
"1885","4382246","US","Negatief"
"664","4382677","NL","Positief"
"36","4382693","NL","Positief"
"1518","4382748","GE","Positief"
"957","4383093","NL","Positief"
"2043","4383180","US","Positief"
"758","4383279","NL","Negatief"
"348","4383456","NL","Positief"
"1425","4383720","GE","Positief"
"26","4384120","NL","Positief"
"1980","4384200","US","Positief"
"1054","4384824","NL","Positief"
"47","4385107","NL","Positief"
"1485","4385402","GE","Positief"
"776","4385524","NL","Positief"
"1777","4385689","ES","Positief"
"444","4385694","NL","Positief"
"1128","4385727","NL","Positief"
"490","4386377","NL","Positief"
"2018","4386455","US","Negatief"
"88","4386864","NL","Positief"
"1545","4386921","IT","Negatief"
"1169","4387012","NL","Positief"
"986","4387779","NL","Positief"
"1677","4387835","UK","Negatief"
"617","4388543","NL","Positief"
"1263","4388556","NL","Positief"
"303","4389164","NL","Negatief"
"1731","4389672","UK","Positief"
"279","4389869","NL","Positief"
"227","4390276","NL","Negatief"
"577","4390294","NL","Positief"
"1684","4390497","UK","Positief"
"1441","4390544","GE","Positief"
"1757","4390634","ES","Positief"
"2193","4390853","US","Positief"
"469","4390900","NL","Positief"
"2030","4391003","US","Positief"
"731","4391540","NL","Positief"
"1347","4391739","GE","Positief"
"2169","4391769","US","Positief"
"1714","4391922","UK","Positief"
"1925","4392069","US","Positief"
"1828","4392075","BE","Positief"
"1470","4392319","GE","Positief"
"9","4392685","NL","Positief"
"489","4392873","NL","Positief"
"2099","4392903","US","Positief"
"874","4392906","NL","Positief"
"992","4392977","NL","Positief"
"739","4393432","NL","Positief"
"464","4393859","NL","Positief"
"1156","4393907","NL","Negatief"
"1136","4394253","NL","Positief"
"627","4394588","NL","Positief"
"1486","4395379","GE","Positief"
"788","4395499","NL","Positief"
"355","4396011","NL","Negatief"
"1429","4396629","GE","Positief"
"1325","4396913","GE","Positief"
"794","4396917","NL","Positief"
"817","4397008","NL","Positief"
"431","4397528","NL","Positief"
"735","4397852","NL","Positief"
"922","4398399","NL","Positief"
"177","4398605","NL","Positief"
"1459","4398609","GE","Positief"
"826","4398793","NL","Positief"
"785","4399072","NL","Positief"
"1121","4399490","NL","Negatief"
"780","4399563","NL","Positief"
"589","4399653","NL","Positief"
"1255","4399729","NL","Positief"
"104","4399778","NL","Positief"
"524","4400594","NL","Positief"
"1319","4401490","GE","Positief"
"1612","4401519","UK","Positief"
"1331","4401548","GE","Positief"
"736","4401959","NL","Positief"
"1072","4402184","NL","Positief"
"1973","4402291","US","Negatief"
"120","4402561","NL","Positief"
"192","4402628","NL","Positief"
"1598","4402652","IT","Positief"
"1252","4402977","NL","Positief"
"2170","4403737","US","Positief"
"238","4403985","NL","Positief"
"368","4404022","NL","Positief"
"1775","4404362","ES","Positief"
"60","4404582","NL","Positief"
"572","4404620","NL","Positief"
"1133","4404834","NL","Positief"
"1882","4405341","US","Negatief"
"859","4405446","NL","Positief"
"91","4405614","NL","Positief"
