"","Studentnummer","Geslacht","Vooropleiding","Gemiddeld_cijfer"
"367","4281837","Vrouw","vwo",7.02161763249215
"454","4351755","Vrouw","vwo",8.10444055775452
"58","4248850","Man","vwo",5.93611759981364
"385","4299476","Vrouw","vwo",8.58720394604443
"489","4326295","Vrouw","vwo",5.89372233936045
"349","4394016","Vrouw","vwo",6.09466658037648
"125","4148663","Man","vwo",5.79714089147052
"544","4471867","Vrouw","overig",7.04440563915239
"202","4256096","Vrouw","hbo",8.29905531466027
"133","4350266","Man","vwo",6.98804621618103
"576","4481091","Vrouw","overig",7.26372874823125
"436","4408066","Vrouw","vwo",6.85937241366341
"516","4283975","Vrouw","vwo",7.98865650538364
"565","4417765","Vrouw","overig",7.72905552549282
"351","4445226","Vrouw","vwo",5.76085477640437
"289","4341363","Vrouw","hbo",9.05337646372281
"382","4122201","Vrouw","vwo",6.52379516418684
"331","4425120","Vrouw","vwo",8.03652677142708
"189","4257109","Man","overig",5.37208011089898
"226","4477709","Vrouw","hbo",8.10276704630509
"14","4322087","Man","hbo",5.98502179713226
"183","4269211","Man","overig",7.71416957085202
"277","4224151","Vrouw","hbo",5.57273633851659
"412","4158229","Vrouw","vwo",6.42698707674302
"61","4215184","Man","vwo",6.65120505878892
"105","4329737","Man","vwo",6.00847956601258
"228","4227223","Vrouw","hbo",6.36205940093776
"286","4339095","Vrouw","hbo",8.94667724022033
"491","4242116","Vrouw","vwo",7.23986915704217
"114","4130397","Man","vwo",8.52170485426206
"28","4311374","Man","hbo",4.53465379003676
"285","4270153","Vrouw","hbo",5.67432893308603
"370","4033471","Vrouw","vwo",6.46228298815946
"492","4417700","Vrouw","vwo",7.39948142428027
"521","4394456","Vrouw","vwo",8.25379933574217
"365","4498763","Vrouw","vwo",6.85496398470349
"418","4471163","Vrouw","vwo",7.55079041733303
