"","x"
"2142",39039
"2143",44577
"2144",29627
"2145",65221
"2146",34190
"2147",36556
"2148",31213
"2149",26481
"2150",48802
"2151",50050
"2152",65988
"2153",33111
"2154",48802
"2155",26884
"2156",46111
"2157",43368
"2158",49322
"2159",42133
"2160",23244
"2161",51493
"2162",45149
"2163",32695
"2164",45656
"2165",32175
"2166",22061
"2167",60476
"2168",38636
"2169",67951
"2170",27911
"2171",31148
"2172",29354
"2173",60138
"2174",34528
"2175",23270
"2176",74022
"2177",61204
"2178",34385
"2179",43394
"2180",50011
"2181",44642
"2182",72059
"2183",44304
"2184",76986
"2185",24856
"2186",29263
"2187",27924
"2188",75972
"2189",33215
"2190",34177
"2191",40781
"2192",31746
"2193",30498
"2194",52338
"2195",33163
"2196",42081
"2197",42224
"2198",39390
"2199",32240
"2200",23595
"2201",47411
"2202",29562
"2203",33696
"2204",74568
"2205",37947
"2206",75140
"2207",51077
"2208",61256
"2209",62894
"2210",25844
"2211",36283
"2212",32487
"2213",40157
"2214",36543
"2215",28184
"2216",48841
"2217",43303
"2218",23868
"2219",40391
"2220",43823
"2221",25519
"2222",34658
"2223",30862
"2224",41977
"2225",23400
"2226",29328
"2227",57330
"2228",22269
"2229",44694
"2230",42874
"2231",48516
"2232",41288
"2233",28743
"2234",36075
"2235",43992
"2236",67951
"2237",23595
"2238",40417
"2239",29094
"2240",32396
"2241",29328
"2242",45045
"2243",41340
"2244",29536
"2245",61347
"2246",85033
"2247",21190
"2248",41067
"2249",31642
"2250",22230
"2251",51233
"2252",36803
"2253",37076
"2254",57928
"2255",31707
"2256",29679
"2257",65468
"2258",31525
"2259",33085
"2260",27781
"2261",30641
"2262",43407
"2263",32149
"2264",42874
"2265",28184
"2266",54678
"2267",45136
"2268",30030
"2269",43095
"2270",65013
"2271",58175
"2272",62426
"2273",41210
"2274",29445
"2275",27729
"2276",44577
"2277",39650
"2278",41574
"2279",41249
"2280",61165
"2281",38961
"2282",50674
"2283",65208
"2284",21190
"2285",32266
"2286",41860
"2287",48815
"2288",28327
"2289",23023
"2290",42783
"2291",22763
"2292",50089
"2293",37739
"2294",28093
"2295",66352
"2296",43602
"2297",33280
"2298",32383
"2299",43121
"2300",39858
"2301",47892
"2302",26130
"2303",51519
"2304",36790
"2305",29835
"2306",62946
"2307",52442
"2308",32942
"2309",40534
"2310",38142
"2311",32955
"2312",32994
"2313",46397
"2314",57044
