"","Studentnummer","FOS","Maand"
"2581",4174830,"nee","december"
"5424",4174830,"nee","juni"
"1986",4175468,"ja","december"
"4829",4175468,"ja","juni"
"1235",4176143,"ja","december"
"4078",4176143,"ja","juni"
"1085",4177330,"nee","december"
"3928",4177330,"nee","juni"
"874",4177685,"ja","december"
"3717",4177685,"ja","juni"
"2034",4177773,"ja","december"
"4877",4177773,"ja","juni"
"2808",4178174,"ja","december"
"5651",4178174,"ja","juni"
"154",4178252,"ja","december"
"2997",4178252,"ja","juni"
"2143",4178468,"ja","december"
"4986",4178468,"ja","juni"
"1683",4178707,"ja","december"
"4526",4178707,"ja","juni"
"2799",4178716,"nee","december"
"5642",4178716,"nee","juni"
"400",4178771,"ja","december"
"3243",4178771,"ja","juni"
"2174",4179448,"ja","december"
"5017",4179448,"ja","juni"
"2087",4179577,"nee","december"
"4930",4179577,"nee","juni"
"2130",4180152,"nee","december"
"4973",4180152,"nee","juni"
"1035",4180533,"ja","december"
"3878",4180533,"ja","juni"
"904",4180570,"ja","december"
"3747",4180570,"ja","juni"
"2701",4180891,"ja","december"
"5544",4180891,"ja","juni"
"1428",4180964,"nee","december"
"4271",4180964,"nee","juni"
"1604",4181148,"ja","december"
"4447",4181148,"ja","juni"
"2766",4181368,"nee","december"
"5609",4181368,"nee","juni"
"746",4181522,"nee","december"
"3589",4181522,"nee","juni"
"2700",4181960,"nee","december"
"5543",4181960,"nee","juni"
"1694",4182199,"ja","december"
"4537",4182199,"ja","juni"
"2634",4182255,"nee","december"
"5477",4182255,"nee","juni"
"631",4182354,"ja","december"
"3474",4182354,"ja","juni"
"2428",4182440,"ja","december"
"5271",4182440,"ja","juni"
"426",4182513,"nee","december"
"3269",4182513,"nee","juni"
"1115",4182603,"nee","december"
"3958",4182603,"nee","juni"
"2245",4182733,"nee","december"
"5088",4182733,"nee","juni"
"1554",4183020,"ja","december"
"4397",4183020,"ja","juni"
"2623",4183486,"nee","december"
"5466",4183486,"nee","juni"
"1166",4183532,"ja","december"
"4009",4183532,"ja","juni"
"1861",4183580,"nee","december"
"4704",4183580,"nee","juni"
"1402",4183712,"ja","december"
"4245",4183712,"ja","juni"
"760",4183989,"nee","december"
"3603",4183989,"ja","juni"
"1574",4184268,"nee","december"
"4417",4184268,"nee","juni"
"671",4184306,"ja","december"
"3514",4184306,"ja","juni"
"1108",4184373,"nee","december"
"3951",4184373,"nee","juni"
"2659",4185456,"ja","december"
"5502",4185456,"ja","juni"
"540",4185658,"ja","december"
"3383",4185658,"ja","juni"
"2820",4185815,"ja","december"
"5663",4185815,"ja","juni"
"1691",4185947,"ja","december"
"4534",4185947,"ja","juni"
"1665",4186016,"nee","december"
"4508",4186016,"nee","juni"
"2571",4186045,"ja","december"
"5414",4186045,"ja","juni"
"83",4186162,"ja","december"
"2926",4186162,"ja","juni"
"2177",4186681,"ja","december"
"5020",4186681,"ja","juni"
"1150",4187193,"ja","december"
"3993",4187193,"ja","juni"
"952",4187227,"nee","december"
"3795",4187227,"nee","juni"
"1771",4187284,"nee","december"
"4614",4187284,"nee","juni"
"1525",4187453,"ja","december"
"4368",4187453,"ja","juni"
"554",4187735,"ja","december"
"3397",4187735,"ja","juni"
"611",4187737,"nee","december"
"3454",4187737,"nee","juni"
"2529",4187802,"ja","december"
"5372",4187802,"ja","juni"
"1713",4187843,"ja","december"
"4556",4187843,"ja","juni"
"2296",4187882,"ja","december"
"5139",4187882,"ja","juni"
"318",4187907,"ja","december"
"3161",4187907,"ja","juni"
"1500",4187933,"ja","december"
"4343",4187933,"ja","juni"
"2751",4188374,"ja","december"
"5594",4188374,"ja","juni"
"1869",4188613,"nee","december"
"4712",4188613,"nee","juni"
"38",4189543,"nee","december"
"2881",4189543,"nee","juni"
"199",4189913,"ja","december"
"3042",4189913,"ja","juni"
"507",4190471,"ja","december"
"3350",4190471,"ja","juni"
"2679",4190564,"ja","december"
"5522",4190564,"ja","juni"
"1974",4191292,"nee","december"
"4817",4191292,"nee","juni"
"332",4191321,"nee","december"
"3175",4191321,"nee","juni"
"453",4191419,"ja","december"
"3296",4191419,"ja","juni"
"1208",4191613,"nee","december"
"4051",4191613,"nee","juni"
"94",4191843,"ja","december"
"2937",4191843,"ja","juni"
"291",4191940,"nee","december"
"3134",4191940,"nee","juni"
"2676",4192100,"ja","december"
"5519",4192100,"ja","juni"
"1442",4192196,"nee","december"
"4285",4192196,"nee","juni"
"2362",4192200,"ja","december"
"5205",4192200,"ja","juni"
"1658",4192287,"nee","december"
"4501",4192287,"nee","juni"
"239",4192619,"ja","december"
"3082",4192619,"ja","juni"
"2212",4192954,"nee","december"
"5055",4192954,"nee","juni"
"104",4193197,"nee","december"
"2947",4193197,"nee","juni"
"2494",4193355,"ja","december"
"5337",4193355,"ja","juni"
"2403",4194169,"ja","december"
"5246",4194169,"ja","juni"
"2117",4194189,"nee","december"
"4960",4194189,"nee","juni"
"863",4194286,"nee","december"
"3706",4194286,"nee","juni"
"2454",4194372,"nee","december"
"5297",4194372,"nee","juni"
"626",4194984,"nee","december"
"3469",4194984,"nee","juni"
"1597",4194988,"ja","december"
"4440",4194988,"ja","juni"
"744",4195018,"nee","december"
"3587",4195018,"nee","juni"
"223",4195762,"nee","december"
"3066",4195762,"nee","juni"
"1852",4196684,"nee","december"
"4695",4196684,"nee","juni"
"593",4197823,"ja","december"
"3436",4197823,"ja","juni"
"2832",4198145,"nee","december"
"5675",4198145,"nee","juni"
"1826",4198325,"ja","december"
"4669",4198325,"ja","juni"
"411",4198980,"ja","december"
"3254",4198980,"ja","juni"
"839",4199010,"ja","december"
"3682",4199010,"ja","juni"
"1345",4199093,"ja","december"
"4188",4199093,"ja","juni"
"585",4199155,"nee","december"
"3428",4199155,"nee","juni"
"577",4199604,"ja","december"
"3420",4199604,"ja","juni"
"2367",4199614,"ja","december"
"5210",4199614,"ja","juni"
"111",4199652,"nee","december"
"2954",4199652,"nee","juni"
"272",4199862,"ja","december"
"3115",4199862,"ja","juni"
"243",4200223,"ja","december"
"3086",4200223,"ja","juni"
"1551",4200614,"ja","december"
"4394",4200614,"ja","juni"
"1736",4200669,"nee","december"
"4579",4200669,"nee","juni"
"2453",4200757,"nee","december"
"5296",4200757,"nee","juni"
"1127",4201745,"ja","december"
"3970",4201745,"ja","juni"
"924",4201847,"ja","december"
"3767",4201847,"ja","juni"
"971",4201867,"nee","december"
"3814",4201867,"nee","juni"
"1441",4201957,"ja","december"
"4284",4201957,"ja","juni"
"279",4202793,"nee","december"
"3122",4202793,"nee","juni"
"316",4202843,"ja","december"
"3159",4202843,"ja","juni"
"1443",4203622,"ja","december"
"4286",4203622,"ja","juni"
"19",4203682,"nee","december"
"2862",4203682,"nee","juni"
"1418",4203910,"nee","december"
"4261",4203910,"nee","juni"
"2285",4204217,"ja","december"
"5128",4204217,"ja","juni"
"146",4204400,"ja","december"
"2989",4204400,"ja","juni"
"431",4204424,"ja","december"
"3274",4204424,"ja","juni"
"2024",4204604,"ja","december"
"4867",4204604,"ja","juni"
"2525",4204850,"nee","december"
"5368",4204850,"nee","juni"
"405",4205423,"ja","december"
"3248",4205423,"ja","juni"
"931",4206422,"ja","december"
"3774",4206422,"ja","juni"
"1044",4206616,"ja","december"
"3887",4206616,"ja","juni"
"234",4206792,"nee","december"
"3077",4206792,"nee","juni"
"433",4207198,"nee","december"
"3276",4207198,"nee","juni"
"132",4207721,"nee","december"
"2975",4207721,"nee","juni"
"1038",4207999,"nee","december"
"3881",4207999,"nee","juni"
"2576",4208029,"ja","december"
"5419",4208029,"ja","juni"
"815",4208236,"ja","december"
"3658",4208236,"ja","juni"
"1081",4208987,"ja","december"
"3924",4208987,"ja","juni"
"2774",4209356,"nee","december"
"5617",4209356,"nee","juni"
"1664",4209995,"nee","december"
"4507",4209995,"nee","juni"
"2014",4210245,"nee","december"
"4857",4210245,"nee","juni"
"2791",4210712,"ja","december"
"5634",4210712,"ja","juni"
"2210",4211501,"nee","december"
"5053",4211501,"nee","juni"
"2113",4212319,"ja","december"
"4956",4212319,"ja","juni"
"2235",4212501,"ja","december"
"5078",4212501,"ja","juni"
"2682",4212925,"nee","december"
"5525",4212925,"nee","juni"
"680",4213240,"ja","december"
"3523",4213240,"ja","juni"
"1296",4213250,"ja","december"
"4139",4213250,"ja","juni"
"1951",4213481,"ja","december"
"4794",4213481,"ja","juni"
"1279",4213606,"nee","december"
"4122",4213606,"nee","juni"
"786",4213647,"nee","december"
"3629",4213647,"nee","juni"
"2079",4213984,"ja","december"
"4922",4213984,"ja","juni"
"1366",4214722,"nee","december"
"4209",4214722,"nee","juni"
"2788",4215277,"ja","december"
"5631",4215277,"ja","juni"
"1865",4215440,"ja","december"
"4708",4215440,"ja","juni"
"2670",4215913,"nee","december"
"5513",4215913,"nee","juni"
"655",4217197,"ja","december"
"3498",4217197,"ja","juni"
"128",4217392,"nee","december"
"2971",4217392,"nee","juni"
"1414",4217600,"nee","december"
"4257",4217600,"nee","juni"
"779",4218457,"ja","december"
"3622",4218457,"ja","juni"
"1588",4218471,"nee","december"
"4431",4218471,"nee","juni"
"2022",4219037,"ja","december"
"4865",4219037,"ja","juni"
"851",4219408,"ja","december"
"3694",4219408,"ja","juni"
"1139",4219874,"ja","december"
"3982",4219874,"ja","juni"
"1535",4220115,"ja","december"
"4378",4220115,"ja","juni"
"399",4220657,"ja","december"
"3242",4220657,"ja","juni"
"2710",4221736,"nee","december"
"5553",4221736,"nee","juni"
"1591",4222057,"ja","december"
"4434",4222057,"ja","juni"
"2674",4222237,"ja","december"
"5517",4222237,"ja","juni"
"1374",4222610,"ja","december"
"4217",4222610,"ja","juni"
"708",4222745,"ja","december"
"3551",4222745,"ja","juni"
"516",4222986,"ja","december"
"3359",4222986,"ja","juni"
"2175",4223181,"ja","december"
"5018",4223181,"ja","juni"
"326",4224131,"nee","december"
"3169",4224131,"nee","juni"
"2516",4224273,"nee","december"
"5359",4224273,"nee","juni"
"2369",4224398,"nee","december"
"5212",4224398,"nee","juni"
"2282",4224693,"nee","december"
"5125",4224693,"nee","juni"
"422",4226400,"ja","december"
"3265",4226400,"ja","juni"
"2316",4226627,"nee","december"
"5159",4226627,"nee","juni"
"2533",4226631,"ja","december"
"5376",4226631,"ja","juni"
"204",4227791,"ja","december"
"3047",4227791,"ja","juni"
"1196",4227991,"nee","december"
"4039",4227991,"nee","juni"
"2085",4228256,"nee","december"
"4928",4228256,"nee","juni"
"1532",4228377,"ja","december"
"4375",4228377,"ja","juni"
"2179",4229098,"nee","december"
"5022",4229098,"nee","juni"
"623",4229282,"nee","december"
"3466",4229282,"nee","juni"
"603",4229782,"ja","december"
"3446",4229782,"ja","juni"
"1349",4230078,"nee","december"
"4192",4230078,"nee","juni"
"1556",4230636,"nee","december"
"4399",4230636,"nee","juni"
"1548",4231477,"nee","december"
"4391",4231477,"nee","juni"
"248",4231512,"ja","december"
"3091",4231512,"ja","juni"
"987",4231992,"nee","december"
"3830",4231992,"nee","juni"
"922",4232928,"nee","december"
"3765",4232928,"nee","juni"
"1355",4233104,"nee","december"
"4198",4233104,"nee","juni"
"650",4233398,"nee","december"
"3493",4233398,"nee","juni"
"1611",4233597,"ja","december"
"4454",4233597,"ja","juni"
"2616",4233604,"ja","december"
"5459",4233604,"ja","juni"
"1838",4233894,"nee","december"
"4681",4233894,"nee","juni"
"1269",4234111,"ja","december"
"4112",4234111,"ja","juni"
"1002",4234328,"ja","december"
"3845",4234328,"ja","juni"
"118",4234511,"ja","december"
"2961",4234511,"ja","juni"
"1699",4234556,"nee","december"
"4542",4234556,"nee","juni"
"1706",4234597,"nee","december"
"4549",4234597,"nee","juni"
"2717",4235104,"ja","december"
"5560",4235104,"ja","juni"
"661",4235318,"ja","december"
"3504",4235318,"ja","juni"
"986",4235323,"nee","december"
"3829",4235323,"ja","juni"
"2184",4235347,"nee","december"
"5027",4235347,"nee","juni"
"837",4235732,"nee","december"
"3680",4235732,"nee","juni"
"2520",4235879,"nee","december"
"5363",4235879,"nee","juni"
"2327",4238461,"ja","december"
"5170",4238461,"ja","juni"
"2756",4239729,"nee","december"
"5599",4239729,"nee","juni"
"1362",4240515,"nee","december"
"4205",4240515,"nee","juni"
"1840",4240564,"nee","december"
"4683",4240564,"nee","juni"
"618",4241096,"nee","december"
"3461",4241096,"nee","juni"
"2657",4241279,"ja","december"
"5500",4241279,"ja","juni"
"1477",4241368,"ja","december"
"4320",4241368,"ja","juni"
"2738",4241438,"nee","december"
"5581",4241438,"nee","juni"
"481",4241491,"ja","december"
"3324",4241491,"ja","juni"
"2638",4241688,"nee","december"
"5481",4241688,"ja","juni"
"636",4242125,"ja","december"
"3479",4242125,"ja","juni"
"2771",4242379,"ja","december"
"5614",4242379,"ja","juni"
"347",4242919,"ja","december"
"3190",4242919,"ja","juni"
"2280",4243093,"ja","december"
"5123",4243093,"ja","juni"
"1957",4243196,"nee","december"
"4800",4243196,"nee","juni"
"395",4243603,"nee","december"
"3238",4243603,"nee","juni"
"1413",4244063,"ja","december"
"4256",4244063,"ja","juni"
"91",4244088,"nee","december"
"2934",4244088,"nee","juni"
"172",4244148,"nee","december"
"3015",4244148,"nee","juni"
"697",4244598,"nee","december"
"3540",4244598,"nee","juni"
"1750",4244738,"ja","december"
"4593",4244738,"ja","juni"
"2510",4244759,"nee","december"
"5353",4244759,"nee","juni"
"282",4244928,"ja","december"
"3125",4244928,"ja","juni"
"576",4245122,"ja","december"
"3419",4245122,"ja","juni"
"616",4245233,"nee","december"
"3459",4245233,"nee","juni"
"387",4245439,"ja","december"
"3230",4245439,"ja","juni"
"627",4246419,"nee","december"
"3470",4246419,"nee","juni"
"162",4246556,"ja","december"
"3005",4246556,"ja","juni"
"2293",4247168,"nee","december"
"5136",4247168,"nee","juni"
"1507",4247336,"nee","december"
"4350",4247336,"nee","juni"
"2401",4247449,"ja","december"
"5244",4247449,"ja","juni"
"2452",4247508,"ja","december"
"5295",4247508,"ja","juni"
"2785",4247767,"nee","december"
"5628",4247767,"nee","juni"
"161",4247869,"nee","december"
"3004",4247869,"nee","juni"
"1333",4248196,"nee","december"
"4176",4248196,"nee","juni"
"2647",4248382,"ja","december"
"5490",4248382,"ja","juni"
"1620",4248540,"ja","december"
"4463",4248540,"ja","juni"
"1083",4248689,"ja","december"
"3926",4248689,"ja","juni"
"539",4248888,"nee","december"
"3382",4248888,"nee","juni"
"397",4250327,"nee","december"
"3240",4250327,"nee","juni"
"757",4250337,"nee","december"
"3600",4250337,"nee","juni"
"1923",4250465,"nee","december"
"4766",4250465,"nee","juni"
"1901",4251120,"ja","december"
"4744",4251120,"ja","juni"
"2243",4251143,"nee","december"
"5086",4251143,"nee","juni"
"2162",4251613,"ja","december"
"5005",4251613,"ja","juni"
"2826",4251710,"ja","december"
"5669",4251710,"ja","juni"
"748",4252558,"nee","december"
"3591",4252558,"nee","juni"
"2000",4252716,"nee","december"
"4843",4252716,"ja","juni"
"2311",4252831,"ja","december"
"5154",4252831,"ja","juni"
"1573",4252844,"nee","december"
"4416",4252844,"nee","juni"
"2118",4253805,"nee","december"
"4961",4253805,"nee","juni"
"886",4254170,"ja","december"
"3729",4254170,"ja","juni"
"1602",4254277,"ja","december"
"4445",4254277,"ja","juni"
"2398",4254331,"nee","december"
"5241",4254331,"nee","juni"
"1294",4254515,"ja","december"
"4137",4254515,"ja","juni"
"908",4254806,"nee","december"
"3751",4254806,"nee","juni"
"2831",4254921,"nee","december"
"5674",4254921,"nee","juni"
"2238",4255100,"ja","december"
"5081",4255100,"ja","juni"
"1526",4255357,"nee","december"
"4369",4255357,"nee","juni"
"2472",4255478,"nee","december"
"5315",4255478,"nee","juni"
"2608",4255525,"nee","december"
"5451",4255525,"nee","juni"
"1653",4255572,"ja","december"
"4496",4255572,"ja","juni"
"337",4255651,"ja","december"
"3180",4255651,"ja","juni"
"2611",4255744,"ja","december"
"5454",4255744,"ja","juni"
"2217",4256003,"ja","december"
"5060",4256003,"ja","juni"
"270",4256004,"ja","december"
"3113",4256004,"ja","juni"
"2098",4256234,"nee","december"
"4941",4256234,"nee","juni"
"1385",4256256,"nee","december"
"4228",4256256,"nee","juni"
"1888",4256367,"ja","december"
"4731",4256367,"ja","juni"
"2018",4257415,"ja","december"
"4861",4257415,"ja","juni"
"2626",4257931,"ja","december"
"5469",4257931,"ja","juni"
"1585",4258062,"nee","december"
"4428",4258062,"nee","juni"
"313",4258347,"nee","december"
"3156",4258347,"nee","juni"
"1562",4258381,"ja","december"
"4405",4258381,"ja","juni"
"1457",4258631,"ja","december"
"4300",4258631,"ja","juni"
"389",4258671,"ja","december"
"3232",4258671,"ja","juni"
"2698",4258811,"nee","december"
"5541",4258811,"nee","juni"
"1276",4259529,"ja","december"
"4119",4259529,"ja","juni"
"1084",4260107,"nee","december"
"3927",4260107,"nee","juni"
"419",4260422,"ja","december"
"3262",4260422,"ja","juni"
"940",4261629,"ja","december"
"3783",4261629,"ja","juni"
"515",4262276,"nee","december"
"3358",4262276,"nee","juni"
"1926",4262389,"ja","december"
"4769",4262389,"ja","juni"
"2487",4263422,"ja","december"
"5330",4263422,"ja","juni"
"2729",4264426,"ja","december"
"5572",4264426,"ja","juni"
"1598",4264647,"ja","december"
"4441",4264647,"ja","juni"
"1560",4265177,"ja","december"
"4403",4265177,"ja","juni"
"1756",4265758,"nee","december"
"4599",4265758,"nee","juni"
"173",4266325,"ja","december"
"3016",4266325,"ja","juni"
"1565",4266329,"nee","december"
"4408",4266329,"nee","juni"
"339",4266944,"ja","december"
"3182",4266944,"ja","juni"
"2228",4267161,"nee","december"
"5071",4267161,"nee","juni"
"509",4267397,"nee","december"
"3352",4267397,"nee","juni"
"2142",4268442,"ja","december"
"4985",4268442,"ja","juni"
"1265",4268526,"ja","december"
"4108",4268526,"ja","juni"
"1934",4268566,"ja","december"
"4777",4268566,"ja","juni"
"1055",4269101,"nee","december"
"3898",4269101,"nee","juni"
"1347",4269260,"nee","december"
"4190",4269260,"nee","juni"
"544",4269343,"nee","december"
"3387",4269343,"nee","juni"
"1462",4269543,"nee","december"
"4305",4269543,"nee","juni"
"1000",4270014,"nee","december"
"3843",4270014,"nee","juni"
"802",4270130,"ja","december"
"3645",4270130,"ja","juni"
"12",4270372,"ja","december"
"2855",4270372,"ja","juni"
"2006",4270478,"ja","december"
"4849",4270478,"ja","juni"
"1512",4270733,"nee","december"
"4355",4270733,"nee","juni"
"143",4270756,"ja","december"
"2986",4270756,"ja","juni"
"113",4270758,"nee","december"
"2956",4270758,"nee","juni"
"1438",4271051,"nee","december"
"4281",4271051,"nee","juni"
"562",4271121,"ja","december"
"3405",4271121,"ja","juni"
"2204",4272179,"ja","december"
"5047",4272179,"ja","juni"
"712",4272827,"nee","december"
"3555",4272827,"nee","juni"
"130",4272959,"ja","december"
"2973",4272959,"ja","juni"
"951",4273025,"nee","december"
"3794",4273025,"nee","juni"
"2772",4273118,"ja","december"
"5615",4273118,"ja","juni"
"1997",4273379,"ja","december"
"4840",4273379,"ja","juni"
"1737",4273443,"nee","december"
"4580",4273443,"ja","juni"
"858",4273900,"nee","december"
"3701",4273900,"nee","juni"
"602",4274108,"nee","december"
"3445",4274108,"ja","juni"
"2807",4274366,"ja","december"
"5650",4274366,"ja","juni"
"435",4274475,"nee","december"
"3278",4274475,"nee","juni"
"135",4274740,"nee","december"
"2978",4274740,"nee","juni"
"2474",4274933,"ja","december"
"5317",4274933,"ja","juni"
"1285",4275515,"nee","december"
"4128",4275515,"nee","juni"
"1516",4275995,"nee","december"
"4359",4275995,"nee","juni"
"2575",4276334,"ja","december"
"5418",4276334,"ja","juni"
"1868",4276927,"ja","december"
"4711",4276927,"ja","juni"
"1273",4277338,"nee","december"
"4116",4277338,"nee","juni"
"2557",4277411,"nee","december"
"5400",4277411,"nee","juni"
"2116",4277619,"ja","december"
"4959",4277619,"ja","juni"
"1824",4277700,"nee","december"
"4667",4277700,"nee","juni"
"763",4277768,"ja","december"
"3606",4277768,"ja","juni"
"1258",4278184,"nee","december"
"4101",4278184,"nee","juni"
"1250",4278231,"nee","december"
"4093",4278231,"nee","juni"
"2154",4278284,"nee","december"
"4997",4278284,"nee","juni"
"665",4278362,"ja","december"
"3508",4278362,"ja","juni"
"1942",4278373,"ja","december"
"4785",4278373,"ja","juni"
"1223",4278790,"nee","december"
"4066",4278790,"nee","juni"
"896",4278928,"ja","december"
"3739",4278928,"ja","juni"
"1773",4278940,"nee","december"
"4616",4278940,"nee","juni"
"2633",4279202,"nee","december"
"5476",4279202,"nee","juni"
"2012",4279476,"nee","december"
"4855",4279476,"nee","juni"
"792",4279779,"nee","december"
"3635",4279779,"nee","juni"
"2310",4280206,"nee","december"
"5153",4280206,"nee","juni"
"328",4280276,"nee","december"
"3171",4280276,"nee","juni"
"859",4280295,"nee","december"
"3702",4280295,"nee","juni"
"2359",4280650,"ja","december"
"5202",4280650,"ja","juni"
"175",4280683,"ja","december"
"3018",4280683,"ja","juni"
"1445",4280897,"nee","december"
"4288",4280897,"nee","juni"
"1763",4280940,"ja","december"
"4606",4280940,"ja","juni"
"379",4281302,"nee","december"
"3222",4281302,"nee","juni"
"1755",4281415,"nee","december"
"4598",4281415,"nee","juni"
"1903",4281599,"nee","december"
"4746",4281599,"nee","juni"
"1744",4282093,"nee","december"
"4587",4282093,"nee","juni"
"158",4282623,"nee","december"
"3001",4282623,"nee","juni"
"1849",4283424,"nee","december"
"4692",4283424,"nee","juni"
"1238",4283551,"nee","december"
"4081",4283551,"nee","juni"
"789",4283662,"ja","december"
"3632",4283662,"ja","juni"
"2318",4284262,"ja","december"
"5161",4284262,"ja","juni"
"15",4284449,"ja","december"
"2858",4284449,"ja","juni"
"382",4284606,"ja","december"
"3225",4284606,"ja","juni"
"1703",4284617,"nee","december"
"4546",4284617,"nee","juni"
"1352",4284838,"ja","december"
"4195",4284838,"ja","juni"
"195",4284970,"ja","december"
"3038",4284970,"ja","juni"
"1024",4284988,"ja","december"
"3867",4284988,"ja","juni"
"2090",4285000,"ja","december"
"4933",4285000,"ja","juni"
"1493",4285703,"ja","december"
"4336",4285703,"ja","juni"
"1555",4286066,"ja","december"
"4398",4286066,"ja","juni"
"2290",4286633,"ja","december"
"5133",4286633,"ja","juni"
"2737",4286875,"nee","december"
"5580",4286875,"nee","juni"
"2051",4287006,"nee","december"
"4894",4287006,"nee","juni"
"678",4287354,"ja","december"
"3521",4287354,"ja","juni"
"391",4287514,"ja","december"
"3234",4287514,"ja","juni"
"93",4287631,"ja","december"
"2936",4287631,"ja","juni"
"472",4288269,"ja","december"
"3315",4288269,"ja","juni"
"2841",4288965,"nee","december"
"5684",4288965,"nee","juni"
"921",4289008,"ja","december"
"3764",4289008,"ja","juni"
"1293",4289047,"nee","december"
"4136",4289047,"ja","juni"
"524",4289232,"ja","december"
"3367",4289232,"ja","juni"
"1175",4290307,"ja","december"
"4018",4290307,"ja","juni"
"2506",4290724,"ja","december"
"5349",4290724,"ja","juni"
"825",4290802,"ja","december"
"3668",4290802,"ja","juni"
"1424",4291293,"ja","december"
"4267",4291293,"ja","juni"
"709",4291301,"nee","december"
"3552",4291301,"nee","juni"
"70",4291803,"ja","december"
"2913",4291803,"ja","juni"
"2546",4291968,"ja","december"
"5389",4291968,"ja","juni"
"2407",4292096,"ja","december"
"5250",4292096,"ja","juni"
"960",4293095,"nee","december"
"3803",4293095,"nee","juni"
"1178",4293756,"nee","december"
"4021",4293756,"nee","juni"
"2271",4293856,"nee","december"
"5114",4293856,"nee","juni"
"857",4294270,"ja","december"
"3700",4294270,"ja","juni"
"2545",4294427,"nee","december"
"5388",4294427,"nee","juni"
"8",4294761,"ja","december"
"2851",4294761,"ja","juni"
"2793",4294861,"ja","december"
"5636",4294861,"ja","juni"
"330",4295294,"nee","december"
"3173",4295294,"nee","juni"
"2813",4295947,"ja","december"
"5656",4295947,"ja","juni"
"2645",4295954,"nee","december"
"5488",4295954,"nee","juni"
"1199",4296766,"nee","december"
"4042",4296766,"nee","juni"
"252",4297663,"ja","december"
"3095",4297663,"ja","juni"
"351",4298068,"nee","december"
"3194",4298068,"nee","juni"
"396",4298469,"nee","december"
"3239",4298469,"nee","juni"
"2030",4299174,"nee","december"
"4873",4299174,"nee","juni"
"1157",4299226,"ja","december"
"4000",4299226,"ja","juni"
"1874",4299649,"nee","december"
"4717",4299649,"nee","juni"
"751",4299804,"ja","december"
"3594",4299804,"ja","juni"
"1298",4300138,"nee","december"
"4141",4300138,"nee","juni"
"2600",4300293,"ja","december"
"5443",4300293,"ja","juni"
"2220",4300397,"nee","december"
"5063",4300397,"nee","juni"
"996",4300561,"nee","december"
"3839",4300561,"nee","juni"
"1864",4300774,"ja","december"
"4707",4300774,"ja","juni"
"2747",4300871,"nee","december"
"5590",4300871,"nee","juni"
"2825",4301120,"ja","december"
"5668",4301120,"ja","juni"
"2603",4302226,"nee","december"
"5446",4302226,"nee","juni"
"263",4302892,"ja","december"
"3106",4302892,"ja","juni"
"1241",4303233,"ja","december"
"4084",4303233,"ja","juni"
"1867",4303398,"ja","december"
"4710",4303398,"ja","juni"
"1100",4303567,"ja","december"
"3943",4303567,"ja","juni"
"1111",4304128,"nee","december"
"3954",4304128,"nee","juni"
"2550",4304715,"ja","december"
"5393",4304715,"ja","juni"
"2828",4304727,"nee","december"
"5671",4304727,"nee","juni"
"388",4306518,"ja","december"
"3231",4306518,"ja","juni"
"534",4307382,"nee","december"
"3377",4307382,"nee","juni"
"233",4307490,"nee","december"
"3076",4307490,"nee","juni"
"276",4307769,"ja","december"
"3119",4307769,"ja","juni"
"2306",4307958,"ja","december"
"5149",4307958,"ja","juni"
"1806",4309100,"ja","december"
"4649",4309100,"ja","juni"
"2099",4309540,"ja","december"
"4942",4309540,"ja","juni"
"250",4309838,"nee","december"
"3093",4309838,"nee","juni"
"578",4310731,"ja","december"
"3421",4310731,"ja","juni"
"1967",4310777,"nee","december"
"4810",4310777,"nee","juni"
"1121",4310908,"ja","december"
"3964",4310908,"ja","juni"
"2527",4311014,"nee","december"
"5370",4311014,"nee","juni"
"1814",4311181,"ja","december"
"4657",4311181,"ja","juni"
"2060",4311470,"ja","december"
"4903",4311470,"ja","juni"
"374",4311514,"nee","december"
"3217",4311514,"nee","juni"
"2541",4311650,"nee","december"
"5384",4311650,"nee","juni"
"1172",4311921,"ja","december"
"4015",4311921,"ja","juni"
"1778",4312126,"nee","december"
"4621",4312126,"nee","juni"
"2496",4312402,"nee","december"
"5339",4312402,"nee","juni"
"1696",4313293,"ja","december"
"4539",4313293,"ja","juni"
"2011",4313294,"ja","december"
"4854",4313294,"ja","juni"
"1421",4313533,"nee","december"
"4264",4313533,"nee","juni"
"1762",4313785,"nee","december"
"4605",4313785,"nee","juni"
"1669",4314209,"ja","december"
"4512",4314209,"ja","juni"
"1122",4314530,"ja","december"
"3965",4314530,"ja","juni"
"2528",4314553,"nee","december"
"5371",4314553,"nee","juni"
"470",4314647,"nee","december"
"3313",4314647,"nee","juni"
"214",4314683,"ja","december"
"3057",4314683,"ja","juni"
"2725",4315354,"nee","december"
"5568",4315354,"nee","juni"
"1471",4315777,"nee","december"
"4314",4315777,"nee","juni"
"1766",4315929,"nee","december"
"4609",4315929,"nee","juni"
"2483",4317141,"nee","december"
"5326",4317141,"ja","juni"
"314",4317398,"nee","december"
"3157",4317398,"nee","juni"
"1742",4317698,"ja","december"
"4585",4317698,"ja","juni"
"2144",4318115,"ja","december"
"4987",4318115,"ja","juni"
"2476",4318257,"nee","december"
"5319",4318257,"nee","juni"
"1546",4318921,"ja","december"
"4389",4318921,"ja","juni"
"1729",4318972,"nee","december"
"4572",4318972,"nee","juni"
"2355",4319988,"nee","december"
"5198",4319988,"nee","juni"
"835",4320736,"ja","december"
"3678",4320736,"ja","juni"
